Nom du produit,Marque,Type CPU,Implémentation CPU,Référence,Stockage,RAM,Taille écran,Prix,Site web,Catégorie
"Lenovo IdeaPad 3, Intel® Celeron® N, 1,1 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 8 Go, 128 Go",Lenovo,Intel Celeron,N4500,82N4003YMH,128 GB,8 GB,15.6 Inch,259,bol.com,ORDINATEUR
"MSI Thin 15 B12UCX-2076NL - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",MSI,Intel Core i5,i5-12450H,9S7-16R831-2076,512 GB,16 GB,15.6 Inch,689,bol.com,ORDINATEUR
Lenovo IdeaPad Slim 3 16IAH8 83ES0030MH - Ordinateur portable - 16 pouces,Lenovo,Intel Core i5,12450H,83ES0030MH,512 GB,8 GB,16 Inch,479,bol.com,ORDINATEUR
"ASUS Vivobook Go 15 E1504FA-NJ1254W - Ordinateur portable - 15,6 pouces",ASUS,AMD Ryzen 5,7520U,90NB0ZR2-M026V0,512 GB,16 GB,15.6 Inch,479,bol.com,ORDINATEUR
Lenovo Legion Slim 5 16ARP9 83EX001JMH - Ordinateur portable de Gaming - 16 pouces - 165 Hz,Lenovo,AMD Ryzen 7,7435HS,83EX001JMH,512 GB,16 GB,16 Inch,1099,bol.com,ORDINATEUR
"Acer Aspire 3 A317-54-50KW - Ordinateur portable - 17,3 pouces",Acer,Intel Core i5,i5-1235U,NX.K9YEH.01C,1000 GB,16 GB,17.3 Inch,639,bol.com,ORDINATEUR
Lenovo IdeaPad Slim 3 16ABR8 82XR008VMH - Ordinateur portable - 16 pouces,Lenovo,AMD Ryzen 5,7430U,82XR008VMH,1000 GB,16 GB,16 Inch,559,bol.com,ORDINATEUR
"HP Chromebook 15a-nb0704nd - 15,6 pouces",HP,,N100,B8CM8EA#ABH,128 GB,8 GB,15.6 Inch,249,bol.com,ORDINATEUR
"Lenovo IdeaPad Slim 3 15AMN8 82XQ00JBMH - Ordinateur portable - 15,6 pouces",Lenovo,AMD Ryzen 5,7520U,82XQ00JBMH,512 GB,16 GB,15.6 Inch,549,bol.com,ORDINATEUR
Lenovo IdeaPad Slim 5 16IAH8 83BG006CMH - Ordinateur portable - 16 pouces,Lenovo,Intel Core i5,12450H,83BG006CMH,512 GB,16 GB,16 Inch,609,bol.com,ORDINATEUR
"Lenovo LOQ 15ARP9 83JC0070MH - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",Lenovo,AMD Ryzen 7,7435HS,83JC0070MH,512 GB,24 GB,15.6 Inch,949,bol.com,ORDINATEUR
HP Pavilion x360 14-ek0742nd - ordinateur portable 2-en1 - 14 pouces,HP,Intel Core i3,i3-1215U,A4CR8EA#ABH,512 GB,8 GB,14 Inch,599,bol.com,ORDINATEUR
"Lenovo IdeaPad Gaming 3 15ACH6 82K202CYMH - Ordinateur portable de Gaming - 15,6 pouces",Lenovo,AMD Ryzen 5,5500H,82K202CYMH,512 GB,16 GB,15.6 Inch,699,bol.com,ORDINATEUR
Lenovo IdeaPad Slim 5 16IRL8 82XF00AAMH - Ordinateur portable - 16 pouces,Lenovo,Intel Core i7,13620H,82XF00AAMH,512 GB,16 GB,16 Inch,719,bol.com,ORDINATEUR
"Ordinateur portable Blackview AceBook 8 - 15,6 pouces Intel N97 de 12e génération - 16 GB de RAM 512 GB SSD Windows 11 Grijs",Blackview,Intel Celeron,N97,6931548317913,512 GB,16 GB,15.6 Inch,279,bol.com,ORDINATEUR
"MSI Katana A15 AI B8VG-462NL - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",MSI,AMD Ryzen 7,8845HS,9S7-158N31-462,1000 GB,16 GB,15.6 Inch,1549,bol.com,ORDINATEUR
"ASUS Vivobook Go 14 E1404FA-NK385W, AMD Ryzen™ 5, 2,8 GHz, 35,6 cm (14""), 1920 x 1080 pixels, 16 Go, 512 Go",ASUS,AMD Ryzen 5,7520U,90NB0ZS1-M00HC0,512 GB,16 GB,14 Inch,589,bol.com,ORDINATEUR
ASUS ROG Zephyrus G16 GU605MI-QR268W - Ordinateur portable de Gaming - 16 pouces - 240 Hz,ASUS,,155H,90NR0IS1-M00DU0,1000 GB,16 GB,16 Inch,1899,bol.com,ORDINATEUR
ASUS ROG Strix G18 G814JIR-N6003W - Ordinateur portable de Gaming - 180 pouces - 240 Hz,ASUS,Intel Core i9,i9-14900HX,90NR0ID6-M002B0,1000 GB,32 GB,18 Inch,1999,bol.com,ORDINATEUR
"MSI Katana A17 AI B8VF-881NL - Ordinateur portable de Gaming - 17,3 pouces - 144 Hz",MSI,AMD Ryzen 7,8845HS,9S7-17LN31-881,1000 GB,16 GB,17.3 Inch,1249,bol.com,ORDINATEUR
"HP 17-cp2752nd - Ordinateur portable - 17,3 pouces",HP,AMD Ryzen 5,7520U,A4CT4EA#ABH,512 GB,16 GB,17.3 Inch,629,bol.com,ORDINATEUR
"Acer Aspire 3 A315-59-536D - Ordinateur portable - 15,6 pouces",Acer,Intel Core i5,i5-1235U,NX.K6SEH.017,512 GB,8 GB,15.6 Inch,519,bol.com,ORDINATEUR
"MSI Thin A15 B7UC-004NL - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",MSI,AMD Ryzen 5,7535HS,THIN A15 B7UC-004NL,512 GB,16 GB,15.6 Inch,789,bol.com,ORDINATEUR
"Lenovo V15 G3, Intel Core™ i5, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 GB, 512 GB, Windows 11 Home",Lenovo,Intel Core i5,i5-1235U,83C4000BPB,512 GB,16 GB,15.6 Inch,469,bol.com,ORDINATEUR
